date,open,high,low,close,volume,macd,signal,Upper_Band,Lower_Band,BB_Width,RSI_14,RSI_5,RSI_9,EMA_50,EMA_200,average_true_range,adx,bull_market,drawdown
2025-12-17,25167.859375,25193.41015625,24647.609375,24647.609375,8616140000,6.681829665161786,84.40535238966484,26178.031838335108,24230.15058353989,1947.8812547952184,38.940928276247625,17.660290008900887,31.097780357644325,25060.072230858474,23380.896756318245,368.6049222682102,23.362696319828103,1,-0.05636480517279012
2025-12-16,24991.490234375,25188.759765625,24922.939453125,25132.939453125,7759960000,68.28269784485383,103.83623307162068,26189.183692522056,24204.547752790444,1984.6359397316119,46.87564602488887,31.753450774890993,42.378474867194534,25076.90744946494,23368.16597623099,341.34402068953324,19.85214792254772,1,-0.037783914188226256
2025-12-15,25352.869140625,25377.619140625,25022.810546875,25067.26953125,8649240000,96.50082942493464,112.72461687878702,26187.330336977433,24173.099155210064,2014.231181767369,45.47983391538162,25.300675691026612,39.74976939124957,25074.620428907387,23350.429559377782,352.96305281550707,18.360064273590122,1,-0.04029809106355672
2025-12-12,25531.55078125,25605.880859375,25104.6796875,25196.73046875,8724070000,137.79994074127535,116.78056374252085,26186.03019736445,24168.496365135554,2017.5338322288953,47.777818888660995,29.73462269469171,43.20356377319307,25074.920465546464,23333.174886293637,352.6791234382399,17.804584286485873,1,-0.035341671350729055
2025-12-11,25598.390625,25696.2890625,25372.1796875,25686.689453125,8337770000,175.32730292527776,111.52571949239378,26178.968557075612,24155.231052299387,2023.7375047762253,58.09333374136524,63.34636777411036,61.04793787438808,25069.948628681013,23314.445684459904,329.82957727141115,18.157231105112015,1,-0.016583562414330635
2025-12-10,25631.58984375,25835.029296875,25504.30078125,25776.439453125,7987900000,170.7909879767867,95.57532363250922,26155.692072038717,24161.571599836283,1994.120472202434,60.308112625337124,75.92308144952352,65.44953752242046,25044.775533805747,23290.60403854367,330.7096084013544,19.358102346338285,1,-0.013147478311924981
2025-12-09,25593.669921875,25698.259765625,25532.33984375,25668.689453125,7192600000,153.37897154661914,76.77140754398839,26118.752539957666,24174.216210042334,1944.5363299153323,58.54627544727955,70.25022248241233,62.569519243947454,25014.911700364144,23265.620768045366,330.70669959767366,18.183561417757304,1,-0.01727269348779361
2025-12-08,25758.8203125,25828.16015625,25531.75,25627.94921875,8533670000,139.89428594600759,57.61951654020966,26110.087081772985,24177.186746352014,1932.9003354209708,57.89002353885284,67.96730172227525,61.49066922811721,24988.226894129006,23241.469323974212,356.0585119870448,18.58566013244606,1,-0.018832435790458988
2025-12-05,25657.779296875,25827.080078125,25617.349609375,25692.05078125,8248280000,124.79594706351054,37.050824184570274,26056.129444511353,24174.330516426147,1881.7989280852053,59.26069758921112,75.23435597539294,64.07356651409648,24962.11577883835,23217.48460141365,365.23518228088125,19.049620202446604,1,-0.016378303647332386
2025-12-04,25658.140625,25658.26953125,25450.380859375,25581.69921875,7456860000,97.18339308392751,15.114543459249592,25990.253220069517,24184.005568992983,1806.2476510765337,57.65809421105965,70.95787410340387,61.605697851865386,24932.32251343379,23192.614589555997,383.6743093001438,18.173401470459886,1,-0.020603119798662462
